	posicao	nome	cargo	partido	pontuacao	estado	presidente
48	48	Tereza Cristina 	Deputado Federal	PP	7.48	MS	False
49	48	Carlos Jordy 	Deputado Federal	PL	7.48	RJ	False
50	50	Soraya Thronicke	Senador	UNIÃO	7.47	MS	False
51	51	Osmar Serraglio	Deputado Federal	PP	7.46	PR	False
52	51	General Girão 	Deputado Federal	PL	7.46	RN	False
53	53	Darci de Matos 	Deputado Federal	PSD	7.45	SC	False
54	54	Marcio Bittar	Senador	UNIÃO	7.43	AC	False
55	54	Gurgel 	Deputado Federal	PL	7.43	RJ	False
56	54	Nelson Barbudo 	Deputado Federal	PL	7.43	MT	False
57	57	Lincoln Portela 	Deputado Federal	PL	7.42	MG	False
58	57	Styvenson Valentim	Senador	PODEMOS	7.42	RN	False
59	57	Jones Moura	Deputado Federal	PSD	7.42	RJ	False
60	60	Wellington Fagundes	Senador	PL	7.4	MT	False
61	60	Rogério Peninha Mendonça 	Deputado Federal	MDB	7.4	SC	False
62	60	Pastor Eurico 	Deputado Federal	PL	7.4	PE	False
63	60	Sargento Fahur 	Deputado Federal	PSD	7.4	PR	False
64	64	Ney Leprevost 	Deputado Federal	UNIÃO	7.38	PR	False
65	64	Alê Silva 	Deputado Federal	REPUBLICANOS	7.38	MG	False
66	66	Pedro Westphalen 	Deputado Federal	PP	7.37	RS	False
67	67	Fred Costa 	Deputado Federal	PATRIOTA	7.36	MG	False
68	67	Junio Amaral 	Deputado Federal	PL	7.36	MG	False
69	69	Jerônimo Goergen 	Deputado Federal	PP	7.35	RS	False
70	69	Carlos Viana	Senador	PL	7.35	MG	False
71	71	Márcio Labre 	Deputado Federal	PL	7.34	RJ	False
72	72	Coronel Chrisóstomo 	Deputado Federal	PL	7.33	RO	False
73	73	Pedro Augusto Palareti	Deputado Federal	PP	7.32	RJ	False
74	73	Irajá	Senador	PSD	7.32	TO	False
75	73	Sanderson 	Deputado Federal	PL	7.32	RS	False
76	76	Carmen Zanotto 	Deputado Federal	CIDADANIA	7.31	SC	False
77	76	Diego Garcia 	Deputado Federal	REPUBLICANOS	7.31	PR	False
78	78	Luiz Carlos do Carmo	Senador	PSC	7.29	GO	False
79	78	Eliane Nogueira	Senador	PP	7.29	PI	False
80	80	Covatti Filho 	Deputado Federal	PP	7.28	RS	False
81	81	Flávio Bolsonaro	Senador	PL	7.27	RJ	False
82	81	Miguel Lombardi 	Deputado Federal	PL	7.27	SP	False
83	81	Professora Dayane Pimentel 	Deputado Federal	UNIÃO	7.27	BA	False
84	84	João Maia 	Deputado Federal	PL	7.26	RN	False
85	84	Capitão Derrite	Deputado Federal	PL	7.26	SP	False
86	86	Luis Miranda 	Deputado Federal	REPUBLICANOS	7.25	DF	False
87	87	Eduardo Bolsonaro 	Deputado Federal	PL	7.24	SP	False
88	87	Alessandro Vieira	Senador	PSDB	7.24	SE	False
89	89	Marcio Alvino 	Deputado Federal	PL	7.23	SP	False
90	89	Tito 	Deputado Federal	AVANTE	7.23	BA	False
91	91	Da Vitoria 	Deputado Federal	PP	7.22	ES	False
92	92	Roberto Rocha	Senador	PTB	7.21	MA	False
93	92	Marcelo Álvaro Antônio 	Deputado Federal	PL	7.21	MG	False
94	92	Lasier Martins	Senador	PODEMOS	7.21	RS	False
95	92	Carla Zambelli 	Deputado Federal	PL	7.21	SP	False
96	92	Franco Cartafina 	Deputado Federal	PP	7.21	MG	False
97	97	Loester Trutis 	Deputado Federal	PL	7.2	MS	False
98	98	Major Fabiana 	Deputado Federal	PL	7.19	RJ	False
99	99	Hugo Leal 	Deputado Federal	PSD	7.18	RJ	False
